tag,cfg,psnr_y,psnr_u,psnr_v,overall_psnr,ssim_y,ms_ssim_y,vmaf,vmaf_neg,psnr_hvs,ciede2k,apsnr_y,apsnr_u,apsnr_v,overall_apsnr
v4.0.0,AS,-19.10925,-26.6148125,-28.556675,-20.062375,-15.756237500000001,-18.1516125,-23.940375,-23.0137875,-18.35565,-22.88155,-19.0659625,-26.6270625,-28.661925,-20.107625
v4.0.0,LD,-13.965591071428571,-27.819839285714288,-27.552826785714284,-15.306848214285713,-13.809994642857143,-13.999453571428571,-15.553117857142857,-14.91060892857143,-13.359789285714285,-18.259023214285715,-14.083480357142857,-28.01545357142857,-27.44942857142857,-15.107867857142859
v4.0.0,RA,-17.53204945054945,-27.777653846153846,-28.753216483516482,-18.67721978021978,-16.806793406593407,-17.40954065934066,-22.617038461538463,-21.4144010989011,-16.816649450549452,-21.12949010989011,-17.68578021978022,-27.898212087912086,-28.553271428571428,-18.463516483516486
v4.0.0,Still,-7.156673684210527,-20.216508771929824,-23.839143859649123,-8.772631578947369,-6.398454385964913,-7.2876315789473685,-6.943554385964912,-6.754717543859648,-8.044871929824561,-11.249029824561404,-7.156673684210527,-20.216508771929824,-23.839143859649123,-7.943863157894737
v5.0.0,AI,-13.254287912087912,-30.19782857142857,-32.790438461538464,-15.29777032967033,-12.109807692307694,-12.84924945054945,-14.162583516483517,-13.746394505494505,-13.205486813186813,-20.274853846153846,-13.244509890109889,-30.23409010989011,-32.78957692307692,-14.787236263736263
v5.0.0,AS,-21.3817375,-31.5396625,-32.48755,-22.5793,-17.7157375,-20.162412500000002,-26.8709625,-25.86625,-20.63285,-26.186075,-21.3328875,-31.535474999999998,-32.5873,-22.68635
v5.0.0,LD,-15.947253571428572,-31.59963035714286,-30.542301785714283,-17.452798214285714,-15.567723214285715,-15.786714285714286,-17.350076785714286,-16.779248214285712,-15.276598214285714,-20.998075,-16.058426785714286,-31.810610714285712,-30.43726785714286,-17.240482142857143
v5.0.0,RA,-19.670206593406593,-31.73511978021978,-32.20135824175824,-20.977303296703298,-18.727992307692308,-19.385124175824174,-24.543875824175828,-23.408695604395604,-18.906035164835163,-24.113994505494507,-19.806116483516483,-31.87785934065934,-32.04981318681319,-20.754745054945055
v5.0.0,Still,-7.913515789473684,-22.323473684210526,-24.785161403508774,-9.693559649122808,-7.297873684210526,-8.01403157894737,-8.193849122807018,-7.959378947368421,-8.9411,-12.435663157894737,-7.913515789473684,-22.323473684210526,-24.785161403508774,-8.904373684210526
v6.0.0,AI,-15.11144945054945,-33.94777142857143,-36.325039560439556,-17.397796703296702,-14.132210989010987,-14.797259340659341,-16.30332967032967,-15.905917582417581,-15.61311868131868,-23.638136263736264,-15.0932,-33.984895604395604,-36.297686813186814,-16.78181978021978
