tag,cfg,class,psnr_y,psnr_u,psnr_v,overall_psnr,ssim_y,ms_ssim_y,vmaf,vmaf_neg,psnr_hvs,ciede2k,apsnr_y,apsnr_u,apsnr_v,overall_apsnr
v4.0.0,LD,A4,-12.346866666666665,-28.206433333333333,-33.20381666666667,-14.073483333333334,-14.055866666666667,-12.803483333333332,-11.059600000000001,-11.778333333333334,-10.504916666666666,-15.997066666666667,-12.631466666666668,-28.559700000000003,-33.35293333333333,-13.706833333333334
v4.0.0,LD,A5,-9.2268,-28.346075,-16.471024999999997,-10.495475,-9.149775,-9.363125,-12.6906,-11.873175,-10.0497,-12.806025,-9.479724999999998,-27.950625000000002,-16.160249999999998,-10.0687
v4.0.0,LD,B1,-11.774550000000001,-26.97021,-24.89238,-13.21029,-12.1698,-12.5943,-13.38885,-12.888830000000002,-10.97071,-15.51449,-11.656139999999999,-28.47692,-24.59956,-12.82809
v4.0.0,LD,B2,-25.108666666666664,-35.25858888888889,-35.34884444444444,-26.189422222222223,-25.413766666666664,-25.6067,-27.057266666666667,-25.3811,-25.649144444444445,-30.582722222222223,-25.316633333333336,-34.15297777777778,-34.906622222222225,-26.60088888888889
v4.0.0,RA,A1,-19.566924999999998,-27.728275,-30.09525,-20.608625,-16.86755,-18.7635,-25.22155,-23.7957125,-18.7050125,-23.47345,-19.584600000000002,-27.792975,-30.22345,-20.7230375
v4.0.0,RA,A2,-17.36398947368421,-25.722036842105265,-27.51334736842105,-18.216368421052632,-16.140505263157895,-17.022963157894736,-22.83636842105263,-21.475715789473682,-15.8801,-19.816373684210525,-17.544868421052634,-25.862568421052632,-27.566731578947373,-18.17646842105263
v4.0.0,RA,A3,-18.903025,-29.882237500000002,-28.6841625,-19.960075,-18.0859125,-18.4689625,-23.097075,-21.514575,-18.1538125,-23.2705875,-18.903325,-29.7895,-28.368975000000002,-19.5671625
v4.0.0,RA,A4,-16.400916666666667,-27.835416666666664,-30.775283333333334,-17.67311666666667,-17.51895,-16.932733333333335,-20.6753,-20.061116666666667,-14.606933333333332,-19.056900000000002,-16.590016666666667,-27.95828333333333,-30.381249999999998,-17.397883333333333
v4.0.0,RA,A5,-15.213650000000001,-29.884475000000002,-22.69855,-16.3193,-15.148675,-15.597175,-20.788325,-20.105975,-15.90815,-18.64375,-15.53155,-29.6655,-22.596375000000002,-15.997399999999999
v4.0.0,RA,B1,-15.614619999999999,-23.80981,-23.45901,-16.44695,-16.24841,-16.77935,-20.184739999999998,-19.115000000000002,-14.41349,-17.23012,-15.654910000000001,-24.561010000000003,-22.80722,-16.26032
